File	NSR	NEM	NOA	COMPLEX	TIPO
/prototipo/prova.jsp	5	1	0	1	HIT
/prototipo/registrazione_account.jsp	4	1	0	1	HIT
/prototipo/registro_pagamenti.jsp	0	1	0	1	HIT
/prototipo/registro_presenze.jsp	0	1	0	1	HIT
/prototipo/ricerca_utente.jsp	0	1	0	1	HIT
/prototipo/richieste_tirocinanti.jsp	0	1	0	1	HIT
/prototipo/rinuncia_servizio.jsp	12	1	0	1	HIT
/prototipo/servizi_attivi.jsp	0	1	0	1	HIT
/prototipo/situazione_familiare.jsp	31	1	0	1	HIT
/prototipo/specifiche_bando.jsp	6	1	0	1	HIT
/prototipo/statistica_questionario.jsp	18	1	0	1	HIT
/prototipo/statistiche_risposte_aperte.jsp	11	1	0	1	HIT
/prototipo/stato_pagamenti.jsp	0	1	0	1	HIT
/prototipo/storico_attivita.jsp	0	1	0	1	HIT
/prototipo/storico_pagamenti.jsp	0	1	0	1	HIT
/prototipo/storico_registro_ped.jsp	2	1	0	1	HIT
/prototipo/storico_registro.jsp	2	1	0	1	HIT
/prototipo/visualizza_orario_servizi.jsp	0	1	0	1	HIT
/prototipo/visualizza_questionari.jsp	24	1	0	1	HIT
/prototipo/visualizza_tirocinanti.jsp	0	1	0	1	HIT
atsilo.application.AlgoritmoRicerca.java	0	0	0	1	TMT
atsilo.application.AlgoritmoRicercaBambino.java	1	0	0	1	TMT
atsilo.application.AlgoritmoRicercaPersonaleAsilo.java	1	0	0	1	TMT
atsilo.application.AlgoritmoRicercaPersonaleFormazione.java	1	0	0	1	TMT
atsilo.application.AlgoritmoRicercaUtente.java	1	0	0	1	TMT
atsilo.application.ContestoRicerca.java	0	1	1	1	TMT
atsilo.application.ControlAssenza.java	0	3	0	1	TMT
atsilo.application.ControlAttivita.java	0	5	0	1	TMT
atsilo.application.ControlCampiRadioCheck.java	4	1	1	1	TMT
atsilo.application.ControlClassi.java	20	11	0	2	TMT
atsilo.application.ControlData.java	12	2	0	1	TMT
atsilo.application.ControlDatiPersonali.java	84	15	0	2	TMT
atsilo.application.ControlDomandaQuestionario.java	0	5	0	1	TMT
atsilo.application.ControlEvento.java	37	5	0	1	TMT
atsilo.application.ControlGestioneBando.java	47	10	0	2	TMT
atsilo.application.ControlGestionePersonale.java	0	0	0	1	TMT
atsilo.application.ControlIscritti.java	13	0	0	1	TMT
atsilo.application.ControlIscrizione.java	93	11	0	2	TMT
atsilo.application.ControlLogin.java	16	1	0	1	TMT
atsilo.application.ControlMensa.java	13	4	1	1	TMT
atsilo.application.ControlMenu.java	0	1	0	1	TMT
atsilo.application.ControlOrario.java	4	7	0	1	TMT
atsilo.application.ControlProgrammaEducativo.java	0	4	0	1	TMT
atsilo.application.ControlQuestionario.java	55	16	0	2	TMT
atsilo.application.ControlRegistro.java	7	3	0	1	TMT
atsilo.application.ControlRicercaDati.java	0	1	0	1	TMT
atsilo.application.ControlRispostaQuestionario.java	0	3	0	1	TMT
atsilo.application.ControlServizio.java	0	4	0	1	TMT
atsilo.application.ControlTirocinante.java	0	4	0	1	TMT
atsilo.application.forum.ControlForum.java	6	1	0	1	TMT
atsilo.application.notificheMail.ControlNotificaMail.java	14	2	0	1	TMT
atsilo.application.notificheMail.Messaggio.java	0	0	0	1	TMT
atsilo.application.notificheMail.NotificaMail.java	0	2	3	1	TMT
atsilo.application.notificheMail.NotificaMailComposizioneClasse.java	3	2	1	1	TMT
atsilo.application.notificheMail.NotificaMailEvento.java	8	2	1	1	TMT
atsilo.application.notificheMail.NotificaMailLicenziamento.java	4	2	1	1	TMT
atsilo.application.notificheMail.NotificaMailRegistrazione.java	2	2	2	1	TMT
atsilo.application.notificheMail.Testnotifichemail.java	6	0	0	1	TMT
atsilo.application.servlet.ControlCompilaQuestionario.java	28	2	0	1	TMT
atsilo.application.servlet.ServletAggiungiPunteggio.java	12	2	1	1	TMT
atsilo.application.servlet.ServletBandoCarica.java	22	2	0	1	TMT
atsilo.application.servlet.ServletCompilazioneDatiBando.java	24	2	2	1	TMT
atsilo.application.servlet.ServletControlBandoIM.java	9	2	1	1	TMT
atsilo.application.servlet.ServletControlClasseAss.java	18	2	1	1	TMT
atsilo.application.servlet.ServletControlClasseCanc.java	10	2	1	1	TMT
atsilo.application.servlet.ServletControlClasseIns.java	8	2	1	1	TMT
atsilo.application.servlet.ServletControlEliminaQuestionario.java	9	2	0	1	TMT
atsilo.application.servlet.ServletControlLogin.java	14	2	1	1	TMT
atsilo.application.servlet.servletControlQuestionario.java	22	2	0	1	TMT
atsilo.application.servlet.ServletControlTirocinantiInserisci.java	10	3	1	1	TMT
atsilo.application.servlet.ServletConvalidaClasseBambino.java	15	2	1	1	TMT
atsilo.application.servlet.ServletDomandaIscrizioneConvalida.java	11	2	1	1	TMT
atsilo.application.servlet.ServletEventoElimina.java	15	2	1	1	TMT
atsilo.application.servlet.ServletEventoInserisci.java	42	2	3	1	TMT
atsilo.application.servlet.ServletEventoModifica.java	40	2	2	1	TMT
atsilo.application.servlet.ServletIscrizioneBambino.java	16	2	1	1	TMT
atsilo.application.servlet.ServletModificaDatiAccount.java	11	2	1	1	TMT
atsilo.application.servlet.ServletRegistrazioneAccount.java	14	2	1	1	TMT
