File;NSR;NEM;NOA;COMPLEX;TIPO
atsilo.storage.DBCampoDomandaQuestionario.java;19;3;0;1;
atsilo.storage.DBBando.java;20;5;0;1;
atsilo.storage.DBClasse.java;16;1;0;1;
atsilo.storage.DBAssenza.java;16;3;0;1;
atsilo.storage.DBEducatoreDidattico.java;30;4;0;1;
atsilo.storage.DBGenitore.java;42;3;0;1;
atsilo.storage.DBRichiesta.java;21;4;0;1;
atsilo.storage.DBMenuMensa.java;0;3;0;1;
atsilo.storage.DBPartecipa.java;19;1;0;1;
atsilo.storage.DBPsicopedagogo.java;31;4;0;1;
atsilo.storage.DBAttivita.java;22;4;0;1;
atsilo.storage.DBRetta.java;19;3;0;1;
atsilo.storage.DBFattura.java;2;4;0;1;
atsilo.storage.DBBeansInterface.java;0;3;0;1;
atsilo.storage.DBRispostaQuestionario.java;20;4;0;1;
atsilo.storage.DBEvento.java;30;3;0;1;
atsilo.storage.DBDomandaQuestionario.java;17;5;0;1;
atsilo.storage.Database.java;21;7;2;2;
atsilo.storage.DBInsegna.java;21;1;0;1;
atsilo.storage.DBFeedback.java;0;3;0;1;
atsilo.storage.DBExtra.java;2;4;0;1;
atsilo.storage.DBResponsabileQuestionario.java;29;4;0;1;
atsilo.storage.DBProgrammaEducativoSettimanale.java;0;3;0;1;
atsilo.storage.DBRegistro.java;17;6;0;1;
atsilo.storage.DBphpbb_users.java;4;1;0;1;
atsilo.storage.DBServizio.java;19;4;0;1;
atsilo.storage.Tabella.java;24;5;3;1;
atsilo.storage.DBAccount.java;17;3;0;1;
atsilo.storage.DBDomandaIscrizione.java;57;5;0;1;
atsilo.storage.DBOrarioUtente.java;20;4;0;1;
atsilo.storage.DBBeans.java;44;7;13;3;
atsilo.storage.DBPersonaleAsilo.java;32;6;0;1;
atsilo.exception.AccountException.java;0;0;0;1;
atsilo.exception.UtenteException.java;0;0;0;1;
atsilo.exception.BandoException.java;0;0;0;1;
atsilo.exception.LoginException.java;0;0;0;1;
atsilo.exception.InserimentoDatiException.java;0;0;0;1;
atsilo.exception.DBConnectionException.java;0;0;0;1;
atsilo.exception.RegistroException.java;0;0;0;1;
atsilo.exception.QuestionarioException.java;0;0;0;1;
atsilo.exception.GenitoreException.java;0;0;0;1;
atsilo.exception.DatiPersonaliException.java;0;0;0;1;
atsilo.exception.ServizioException.java;0;0;0;1;
atsilo.exception.ClasseException.java;0;0;0;1;
atsilo.exception.BambinoException.java;0;0;0;1;
atsilo.exception.EventoException.java;0;0;0;1;
atsilo.exception.DomandaIscrizioneException.java;0;0;0;1;
/prototipo/inserisci_fascia_oraria.jsp;0;1;0;1;
/prototipo/invia_domanda_confermata.jsp;10;1;0;1;
/prototipo/storico_pagamenti.jsp;0;1;0;1;
/prototipo/storico_attivita.jsp;0;1;0;1;
/prototipo/presenta_bando.jsp;13;1;0;1;
/prototipo/index_delegato_rettore.jsp;0;1;0;1;
/prototipo/specifiche_bando.jsp;6;1;0;1;
/prototipo/visualizza_questionari.jsp;24;1;0;1;
/prototipo/inserisci_personale.jsp;0;1;0;1;
/prototipo/approva_richieste.jsp;0;1;0;1;
/prototipo/index_delegato_scfm.jsp;0;1;0;1;
