atsilo.entity.EventPlanner.java;0
atsilo.entity.DomandaIscrizione.java;0
atsilo.entity.Evento.java;1
atsilo.entity.CampoDomandaQuestionario.java;0
atsilo.entity.RichiestaTirocinante.java;0
atsilo.entity.Psicopedagogo.java;0
atsilo.entity.Feedback.java;0
atsilo.entity.Richiesta.java;0
atsilo.entity.Contestazione.java;0
atsilo.entity.Partecipa.java;2
atsilo.entity.Classe.java;1
atsilo.entity.Tirocinante.java;0
atsilo.entity.Bando.java;0
atsilo.storage.DBTirocinante.java;39
atsilo.storage.DBCompilaQuestionario.java;17
atsilo.storage.DBQuestionario.java;26
atsilo.storage.DBBambino.java;40
atsilo.storage.ManagerDB.java;0
atsilo.storage.DBCampoDomandaQuestionario.java;19
atsilo.storage.DBBando.java;20
atsilo.storage.DBClasse.java;16
atsilo.storage.DBAssenza.java;16
atsilo.storage.DBEducatoreDidattico.java;30
atsilo.storage.DBGenitore.java;42
atsilo.storage.DBRichiesta.java;21
atsilo.storage.DBMenuMensa.java;0
atsilo.storage.DBPartecipa.java;19
atsilo.storage.DBPsicopedagogo.java;31
atsilo.storage.DBAttivita.java;22
atsilo.storage.DBRetta.java;19
atsilo.storage.DBFattura.java;2
atsilo.storage.DBBeansInterface.java;0
atsilo.storage.DBRispostaQuestionario.java;20
atsilo.storage.DBEvento.java;30
atsilo.storage.DBDomandaQuestionario.java;17
atsilo.storage.Database.java;21
atsilo.storage.DBInsegna.java;21
atsilo.storage.DBFeedback.java;0
atsilo.storage.DBExtra.java;2
atsilo.storage.DBResponsabileQuestionario.java;29
atsilo.storage.DBProgrammaEducativoSettimanale.java;0
atsilo.storage.DBRegistro.java;17
atsilo.storage.DBphpbb_users.java;4
atsilo.storage.DBServizio.java;19
atsilo.storage.Tabella.java;24
atsilo.storage.DBAccount.java;17
atsilo.storage.DBDomandaIscrizione.java;57
atsilo.storage.DBOrarioUtente.java;20
atsilo.storage.DBBeans.java;44
atsilo.storage.DBPersonaleAsilo.java;32
atsilo.stub.application.StubBambino.java;1
atsilo.stub.application.StubAccount.java;0
atsilo.stub.application.ControlGestioneBandoSTUB.java;7
atsilo.stub.application.StubClasse.java;0
atsilo.stub.application.StubUtente.java;0
atsilo.stub.application.StubDomandaIscrizione.java;1
atsilo.stub.application.StubControlLogin.java;1
atsilo.stub.application.StubControlDatiPersonali.java;20
atsilo.stub.application.StubGenitore.java;0
atsilo.stub.storage.StubEducatoreDidattico.java;2
atsilo.stub.storage.StubAccount.java;0
atsilo.stub.storage.StubTirocinante.java;2
atsilo.stub.storage.StubPersonaleAsilo.java;2
atsilo.stub.storage.DBBando.java;0
atsilo.stub.storage.StubResponsabileQuestionario.java;2
atsilo.stub.storage.StubGenitore.java;2
atsilo.stub.storage.DBDomandaIscrizione.java;5
atsilo.stub.storage.StubPsicopedagogo.java;2
atsilo.exception.AccountException.java;0
atsilo.exception.UtenteException.java;0
atsilo.exception.BandoException.java;0
atsilo.exception.LoginException.java;0
atsilo.exception.InserimentoDatiException.java;0
atsilo.exception.DBConnectionException.java;0
atsilo.exception.RegistroException.java;0
atsilo.exception.QuestionarioException.java;0
atsilo.exception.GenitoreException.java;0
atsilo.exception.DatiPersonaliException.java;0
atsilo.exception.ServizioException.java;0
atsilo.exception.ClasseException.java;0
atsilo.exception.BambinoException.java;0
atsilo.exception.EventoException.java;0
atsilo.exception.DomandaIscrizioneException.java;0
/prototipo/inserisci_fascia_oraria.jsp;0
/prototipo/invia_domanda_confermata.jsp;10
/prototipo/storico_pagamenti.jsp;0
/prototipo/storico_attivita.jsp;0
/prototipo/presenta_bando.jsp;13
/prototipo/index_delegato_rettore.jsp;0
/prototipo/specifiche_bando.jsp;6
/prototipo/visualizza_questionari.jsp;24
/prototipo/inserisci_personale.jsp;0
/prototipo/approva_richieste.jsp;0
/prototipo/index_delegato_scfm.jsp;0
/prototipo/visualizza_orario_servizi.jsp;0
/prototipo/fattura_pagamenti.jsp;0
/prototipo/modifica_orario.jsp;0
/prototipo/inserisci_classe.jsp;11
/prototipo/inserisci_programma.jsp;0
/prototipo/invia_punteggio.jsp;31
/prototipo/graduatoria_rifiutati.jsp;11
/prototipo/statistiche_risposte_aperte.jsp;11
/prototipo/lista_questionari.jsp;20
/prototipo/rinuncia_servizio.jsp;12
/prototipo/modifica_programma.jsp;0
/prototipo/modifica_tirocinante.jsp;0
/prototipo/inserisci_questionario.jsp;3
/prototipo/modifica_orario_servizio.jsp;0
/prototipo/modifica_piano_pasto.jsp;0
/prototipo/ricerca_utente.jsp;0
/prototipo/dati_genitore_non_richiedente.jsp;45
/prototipo/cancella_programma.jsp;0
/prototipo/index_psicopedagoga.jsp;0
/prototipo/approva_tirocinante.jsp;0
/prototipo/index_genitore.jsp;5
/prototipo/registro_pagamenti.jsp;0
/prototipo/attivita_odierna.jsp;0
/prototipo/errore.jsp;1
/prototipo/account_educatore.jsp;0
/prototipo/modifica_questionario.jsp;21
/prototipo/dati_account_genitore.jsp;7
/prototipo/lista_punteggio.jsp;15
/prototipo/account_delegato_sciform.jsp;0
/prototipo/account_delegato_rettore.jsp;0
/prototipo/dati_genitore_richiedente.jsp;12
/prototipo/registro_presenze.jsp;0
/prototipo/lista_domanda_confermata.jsp;14
/prototipo/storico_registro_ped.jsp;2
/prototipo/index_impiegato_asilo.jsp;0
/prototipo/inserisci_tirocinante.jsp;1
/prototipo/atsilo_files/dati_genitore_richiedente_residenti_fisciano.jsp;33
/prototipo/atsilo_files/sidebar_impiegato.jsp;3
/prototipo/atsilo_files/autoinclude_sidebar_giusta_tipologia.jsp;1
/prototipo/atsilo_files/sidebar_impiegato_bando.jsp;1
/prototipo/atsilo_files/includi_sidebar_giusta_tipologia.jsp;1
/prototipo/atsilo_files/header.jsp;12
/prototipo/atsilo_files/dati_genitore_richiedente_altro.jsp;36
/prototipo/atsilo_files/sidebar_top_iscrizione.jsp;0
/prototipo/atsilo_files/sidebar_genitore.jsp;6
/prototipo/atsilo_files/footer.jsp;0
/prototipo/atsilo_files/sidebar_top_bambino.jsp;0
/prototipo/atsilo_files/sidebar_index.jsp;0
/prototipo/atsilo_files/form_ricerca_personale_da_personale.jsp;0
/prototipo/atsilo_files/sidebar_delegato.jsp;3
/prototipo/atsilo_files/dati_genitore_richiedente_personale.jsp;35
/prototipo/atsilo_files/sidebar_direttore.jsp;3
/prototipo/atsilo_files/modifica_dati_account.jsp;7
/prototipo/atsilo_files/sidebar.jsp;3
/prototipo/atsilo_files/form_modifica_account_impiegato.jsp;7
/prototipo/atsilo_files/sidebar_top_genitore.jsp;0
/prototipo/atsilo_files/sidebar_scienzeformazione.jsp;3
/prototipo/atsilo_files/sidebar_ped.jsp;3
/prototipo/atsilo_files/form_ricerca_genitore.jsp;2
/prototipo/atsilo_files/modifica_specifiche_bando.jsp;8
/prototipo/atsilo_files/sidebar_delegato_rettore.jsp;3
/prototipo/atsilo_files/form_ricerca_personale_da_genitore.jsp;0
/prototipo/login.jsp;6
/prototipo/licenzia.jsp;0
/prototipo/modifica_evento.jsp;22
/prototipo/eventi.jsp;12
/prototipo/comunicazioni.jsp;0
/prototipo/logout.jsp;2
/prototipo/modifica_fascia_oraria.jsp;0
/prototipo/account_impiegato.jsp;0
/prototipo/cancella_iscritto.jsp;0
/prototipo/inserimento_giudizio_tirocinante.jsp;0
/prototipo/caricamento_bando.jsp;5
/prototipo/richieste_tirocinanti.jsp;0
/prototipo/lista_evento.jsp;27
/prototipo/index_impiegato_bando.jsp;0
/prototipo/modifica_iscritto.jsp;0
/prototipo/index_educatore.jsp;0
/prototipo/index_direttore.jsp;0
/prototipo/convalida_classe_bambino.jsp;16
/prototipo/modifica_pasti.jsp;0
/prototipo/graduatoria_ammessi.jsp;10
/prototipo/inserisci_iscritto.jsp;0
/prototipo/prova.jsp;5
/prototipo/index_delegato.jsp;0
/prototipo/account_impiegato_bando.jsp;0
/prototipo/modifica_specifiche_bando.jsp;0
/prototipo/cancella_fascia_oraria.jsp;0
/prototipo/index_responsabile_questionario.jsp;0
/prototipo/dati_bambino.jsp;29
/prototipo/visualizza_tirocinanti.jsp;0
/prototipo/statistica_questionario.jsp;18
/prototipo/cancella_classe.jsp;11
/prototipo/presenta_iscrizione.jsp;16
/prototipo/fattura_mensile.jsp;0
/prototipo/iscrizione.jsp;14
/prototipo/situazione_familiare.jsp;31
/prototipo/modifica_personale.jsp;0
/prototipo/servizi_attivi.jsp;0
/prototipo/inserisci_evento.jsp;9
/prototipo/stato_pagamenti.jsp;0
/prototipo/assegna_classe.jsp;15
/prototipo/storico_registro.jsp;2
/prototipo/registrazione_account.jsp;4
